contactid,contact_no,parentid,salutation,firstname,lastname,email,phone,mobile,reportsto,training,usertype,contacttype,otheremail,donotcall,emailoptout,imagename,isconvertedfromlead,verification,secondary_email,notifilanguage,contactstatus,dav_status,jobtitle,decision_maker,sum_time,phone_extra,mobile_extra,approvals,gender,fullname,nickname,stakeholder,birthday,age,id_number,soc_sec_nbr,size,birthplace,tax_id_nbr,passport_nbr,passport_exp_date,bank_account_nbr,madrich_training,vaccinated,parent,child,origin_country,contact_account,active,next_birthday
817,C701,NULL,NULL,FN817,LNC701,MAILC701,"""06205678434""",TELC701,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Segítő,1996.03.10,NULL,1234,21341234,L,Taksony,1234667542,5232345,2026.04.13,23452345,1,0,0,0,Hungary,0,1,NULL
820,C704,NULL,NULL,FN820,LNC704,MAILC704,"""06705588999""",TELC704,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Szülő,1976.04.20,NULL,5426,64536547,4XL,Budapest,23452456,523452345,2028.07.25,64374567,0,1,1,0,Hungary,0,0,NULL
821,C705,NULL,NULL,FN821,LNC705,MAILC705,"""135676887434""",TELC705,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Alumni,1999.02.07,NULL,1236,23454357,S,Budapest,876567,234523,2027.03.14,324534345,1,0,0,1,Hungary,0,1,NULL
822,C706,NULL,NULL,FN822,LNC706,MAILC706,"""06304678010""",TELC706,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Szülő,1980.11.14,NULL,8754,234234,M,Vác,45672345,12345324,2028.01.24,53424356,0,0,1,0,Hungary,0,1,NULL
823,C707,NULL,NULL,FN823,LNC707,MAILC707,"""06205414677""",TELC707,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,FIFE,2001.06.25,NULL,3245,65456555,M,Szentendre,43657876,7567,2027.05.05,642356234,1,1,0,1,Hungary,0,0,NULL
824,C708,NULL,NULL,FN824,LNC708,MAILC708,"""06306674455""",TELC708,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Szülő,1969.01.02,NULL,8769,45687878,XS,Sopron,345622435,7576467,2028.04.11,3453245,1,0,1,0,Hungary,0,1,NULL
825,C709,NULL,NULL,FN825,LNC709,MAILC709,"""06306322326""",TELC709,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Alumni,2004.09.06,NULL,9985,9875678,XXL,Budapest,24567658,2353245,2028.03.05,75467457,0,0,0,1,Hungary,0,1,NULL
826,C710,NULL,NULL,FN826,LNC710,MAILC710,"""06205678434""",TELC710,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Segítő,2003.09.21,NULL,5673,98754523,L,Szentendre,2456787854,764678,2026.05.16,2345647798,1,1,0,1,Hungary,0,1,NULL
827,C711,NULL,NULL,FN827,LNC711,MAILC711,"""06304473032""",TELC711,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Szülő,1973.06.30,NULL,2347,134524569,S,Esztergom,87647846,44566653,2027.08.19,57568774,1,1,1,0,Hungary,0,1,NULL
828,C712,NULL,NULL,FN828,LNC712,MAILC712,"""06203005056""",TELC712,0,NULL,NULL,NULL,NULL,NULL,0,,0,,,,,1,,0,0,NULL,,,,XXX,,Alumni,2003.04.04,NULL,5431,12345568,3XL,Budakalász,245656878,356456,2028.10.21,678934658,1,0,0,1,Hungary,0,0,NULL
